FULL NAME,TEAM,POS
Precious Achiuwa,Mia,F
Jaylen Adams,Mil,G
Steven Adams,Nor,C
Bam Adebayo,Mia,C-F
LaMarcus Aldridge,San,C-F
LaMarcus Aldridge,Bro,C-F
Ty-Shon Alexander,Pho,G
Nickeil Alexander-Walker,Nor,G
Grayson Allen,Mem,G
Jarrett Allen,Bro,C
Jarrett Allen,Cle,C
Al-Farouq Aminu,Orl,F
Al-Farouq Aminu,Chi,F
Kyle Anderson,Mem,F-G
Giannis Antetokounmpo,Mil,F
Kostas Antetokounmpo,Lal,F
Thanasis Antetokounmpo,Mil,F
Carmelo Anthony,Por,F
Cole Anthony,Orl,G
OG Anunoby,Tor,F
Ryan Arcidiacono,Chi,G
Trevor Ariza,Mia,F
D.J. Augustin,Mil,G
D.J. Augustin,Hou,G
Deni Avdija,Was,F
Deandre Ayton,Pho,C
Udoka Azubuike,Uta,C-F
Dwayne Bacon,Orl,G-F
Marvin Bagley III,Sac,F
LaMelo Ball,Cha,G
Lonzo Ball,Nor,G
Mo Bamba,Orl,C
Desmond Bane,Mem,G
Harrison Barnes,Sac,F
RJ Barrett,Nyk,F-G
Will Barton,Den,G
Keita Bates-Diop,San,F
Nicolas Batum,Lac,G-F
Aron Baynes,Tor,C-F
Kent Bazemore,Gol,G-F
Darius Bazley,Okc,F-G
Bradley Beal,Was,G
Malik Beasley,Min,G
Jordan Bell,Was,F
Jordan Bell,Gol,F
DeAndre' Bembry,Tor,G-F
Davis Bertans,Was,F
Patrick Beverley,Lac,G
Saddiq Bey,Det,F
Tyler Bey,Dal,F
Khem Birch,Orl,C
Khem Birch,Tor,C
Goga Bitadze,Ind,C-F
Bismack Biyombo,Cha,C
Nemanja Bjelica,Sac,F
Nemanja Bjelica,Mia,F
Eric Bledsoe,Nor,G
Keljin Blevins,Por,G
Bojan Bogdanovic,Uta,F
Bogdan Bogdanovic,Atl,G
Bol Bol,Den,C-F
Marques Bolden,Cle,C
Jordan Bone,Orl,G
Isaac Bonga,Was,G
Devin Booker,Pho,G
Chris Boucher,Tor,F-C
Brian Bowen II,Ind,F-G
Avery Bradley,Mia,G
Avery Bradley,Hou,G
Tony Bradley,Phi,C-F
Tony Bradley,Okc,C-F
Jarrell Brantley,Uta,F
Ignas Brazdeikis,Nyk,F
Ignas Brazdeikis,Phi,F
Ignas Brazdeikis,Orl,F
Miles Bridges,Cha,F
Mikal Bridges,Pho,F
Amida Brimah,Ind,C
Oshae Brissett,Ind,F-G
